scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo
50HzT-003,29300,33678,34267,,AC,22.3681208,2.492,0,,1790,TRUE,1790,Infinity,1,2023,40,62150.83799,89,6,1,2,-Infinity,Infinity,380,010200000002000000F76CE8F3996B2B4009D1691102454A403E5B785040892C40F072C2358D8C4A40,010200000002000000F76CE8F3996B2B4009D1691102454A403E5B785040892C40F072C2358D8C4A40
50HzT-003,29301,34267,31612,,AC,7.7911432,0.868,0,,1790,TRUE,1790,Infinity,1,2023,40,43296.08939,31,3,1,1,-Infinity,Infinity,380,0102000000020000003E5B785040892C40F072C2358D8C4A402ECD293FFEE92B40A13AD44C47A04A40,0102000000020000003E5B785040892C40F072C2358D8C4A402ECD293FFEE92B40A13AD44C47A04A40
50HzT-007,29302,33678,31373,,AC,18.84954,2.1,0,,1790,TRUE,1790,Infinity,1,2022,40,104748.6034,75,3,1,1,-Infinity,Infinity,380,010200000002000000F76CE8F3996B2B4009D1691102454A4014D12438D6E229403969AA2602484A40,010200000002000000F76CE8F3996B2B4009D1691102454A4014D12438D6E229403969AA2602484A40
50HzT-P34,29303,32614,31846,,AC,16.0849408,1.792,0,,1790,TRUE,1790,Infinity,1,2028,40,89385.47486,64,3,1,1,-Infinity,Infinity,380,010200000002000000B126B8F965B42740F703470F1E8B4A40334D63EE7B74274097CEED40C9484A40,010200000002000000B126B8F965B42740F703470F1E8B4A40334D63EE7B74274097CEED40C9484A40
50HzT-P34,29304,31846,31318,,AC,9.2991064,1.036,0,,1790,TRUE,1790,Infinity,1,2023,40,51675.97765,37,3,1,1,-Infinity,Infinity,380,010200000002000000334D63EE7B74274097CEED40C9484A40A8E8C3F2C34727408E3E75646E224A40,010200000002000000334D63EE7B74274097CEED40C9484A40A8E8C3F2C34727408E3E75646E224A40
50HzT-P34,29305,32985,32614,,AC,9.2991064,1.036,0,,1790,TRUE,1790,Infinity,1,2023,40,51675.97765,37,3,1,1,-Infinity,Infinity,380,0102000000020000006A7910FC30A02740F716B47E59B64A40B126B8F965B42740F703470F1E8B4A40,0102000000020000006A7910FC30A02740F716B47E59B64A40B126B8F965B42740F703470F1E8B4A40
50HzT-P34,29306,31759,32985,,AC,13.3203416,1.484,0,,1790,TRUE,1790,Infinity,1,2026,40,74022.34637,53,3,1,1,-Infinity,Infinity,380,01020000000200000070709471215F2840A5351E9E73E84A406A7910FC30A02740F716B47E59B64A40,01020000000200000070709471215F2840A5351E9E73E84A406A7910FC30A02740F716B47E59B64A40
50HzT-P36,29307,31612,35283,,AC,8.0424704,0.896,0,,1790,TRUE,1790,Infinity,1,2026,40,44692.73743,32,3,1,1,-Infinity,Infinity,380,0102000000020000002ECD293FFEE92B40A13AD44C47A04A4089C007183F112C4033455E84F6C04A40,0102000000020000002ECD293FFEE92B40A13AD44C47A04A4089C007183F112C4033455E84F6C04A40
50HzT-P38,29308,34958,33754,,AC,26.389356,2.94,0,,1790,TRUE,1790,Infinity,1,2025,40,146648.0447,105,3,1,1,-Infinity,Infinity,380,0102000000020000006BAC91B3C2AC28401574634236994940718416231A3F26405CA54CC4CA7F4940,0102000000020000006BAC91B3C2AC28401574634236994940718416231A3F26405CA54CC4CA7F4940
50HzT-P39,29309,30952,34084,,AC,16.5875952,1.848,0,,1790,TRUE,1790,Infinity,1,2025,40,92178.77095,66,3,1,1,-Infinity,Infinity,380,010200000002000000186FA57D52A12940737B6E89E96D4940FDD015A549172840A97D34F9F5634940,010200000002000000186FA57D52A12940737B6E89E96D4940FDD015A549172840A97D34F9F5634940
50HzT-P39,29310,34084,33608,,AC,10.8070696,1.204,0,,1790,TRUE,1790,Infinity,1,2026,40,60055.86592,43,3,1,1,-Infinity,Infinity,380,010200000002000000FDD015A549172840A97D34F9F5634940C122EFC9F04A27402856D4E176444940,010200000002000000FDD015A549172840A97D34F9F5634940C122EFC9F04A27402856D4E176444940
50HzT-P180,29311,30931,31678,,AC,0.3769908,0.07,0,,925,TRUE,925,Infinity,1,2026,40,49729.72973,4,3,1,1,-Infinity,Infinity,380,0102000000020000004725128F580C2B40025721E394444A40C9858D9AB1E92A40EB607022BF424A40,0102000000020000004725128F580C2B40025721E394444A40C9858D9AB1E92A40EB607022BF424A40
50HzT-P180,29312,31678,31643,,AC,0.67858344,0.126,0,,925,TRUE,925,Infinity,1,2030,40,89513.51351,7.2,3,1,1,-Infinity,Infinity,380,010200000002000000C9858D9AB1E92A40EB607022BF424A401C7DF725C0BC2A4022D8392367404A40,010200000002000000C9858D9AB1E92A40EB607022BF424A401C7DF725C0BC2A4022D8392367404A40
50HzT-P180,29313,31643,295,,AC,0.45238896,0.084,0,,925,TRUE,925,Infinity,1,2030,40,59675.67568,4.8,3,1,1,-Infinity,Infinity,380,0102000000020000001C7DF725C0BC2A4022D8392367404A40B66E374D8BA12A403C314AE0D0424A40,0102000000020000001C7DF725C0BC2A4022D8392367404A40B66E374D8BA12A403C314AE0D0424A40
50HzT-P180,29314,295,32291,,AC,0.49951281,0.09275,0,,925,TRUE,925,Infinity,1,2030,40,65891.89189,5.3,3,1,1,-Infinity,Infinity,380,010200000002000000B66E374D8BA12A403C314AE0D0424A409926B4E7807F2A40A457914A0C444A40,010200000002000000B66E374D8BA12A403C314AE0D0424A409926B4E7807F2A40A457914A0C444A40
50HzT-P180,29315,32291,31631,,AC,0.65030913,0.12075,0,,925,TRUE,925,Infinity,1,2030,40,85783.78378,6.9,3,1,1,-Infinity,Infinity,380,0102000000020000009926B4E7807F2A40A457914A0C444A400B245B5B4D6C2A4005F45203524A4A40,0102000000020000009926B4E7807F2A40A457914A0C444A400B245B5B4D6C2A4005F45203524A4A40
50HzT-P213,29316,32509,43773,,AC,2.0106176,0.224,0,,1790,TRUE,1790,Infinity,1,2035,40,5586.592179,8,6,1,2,-Infinity,Infinity,380,010200000002000000EF0BD66237352D403B7926F661164A40C55687B9F8E632400D11E7863BC94940,010200000002000000EF0BD66237352D403B7926F661164A40C55687B9F8E632400D11E7863BC94940
50HzT-P213,29317,32509,13447,,AC,1.7592904,0.196,0,,1790,TRUE,1790,Infinity,1,2035,40,9776.536313,7,3,1,1,-Infinity,Infinity,380,010200000002000000EF0BD66237352D403B7926F661164A4069435953B4052D4071B614EBAF144A40,010200000002000000EF0BD66237352D403B7926F661164A4069435953B4052D4071B614EBAF144A40
50HzT-P221,29318,31759,77500,,DC,7.472496214,1.3875,0,,700,TRUE,700,Infinity,1,2035,40,417857.1429,60,2,1,1,-Infinity,Infinity,,01020000000200000070709471215F2840A5351E9E73E84A40876D2A0613473040B8F2AE1ACBAD4E40,01020000000200000070709471215F2840A5351E9E73E84A40876D2A0613473040B8F2AE1ACBAD4E40
50HzT-P450,29319,35254,34117,,AC,22.3681208,2.492,0,,1790,TRUE,1790,Infinity,1,2024,40,124301.676,89,3,1,1,-Infinity,Infinity,380,01020000000200000067C333B260CD2B4033C3246F26F04940E5ADAA2D48C42A40438DDFF783AD4940,01020000000200000067C333B260CD2B4033C3246F26F04940E5ADAA2D48C42A40438DDFF783AD4940
AMP-001,29320,31855,8292,,AC,3.099143628,0.345271111,0,,2700,TRUE,2700,Infinity,1,2022,40,17222.22222,18.6,3,1,1,-Infinity,Infinity,380,0102000000020000005C7E9E54929D20400B896ACA3D2C4A4040DF162CD5CD2040D911E225933F4A40,0102000000020000005C7E9E54929D20400B896ACA3D2C4A4040DF162CD5CD2040D911E225933F4A40
AMP-001,29321,8292,31826,,AC,2.399337003,0.267306667,0,,2700,TRUE,2700,Infinity,1,2023,40,13333.33333,14.4,3,1,1,-Infinity,Infinity,380,01020000000200000040DF162CD5CD2040D911E225933F4A40C19C83DC97CE2040AE89E633F64D4A40,01020000000200000040DF162CD5CD2040D911E225933F4A40C19C83DC97CE2040AE89E633F64D4A40
AMP-009,29322,31097,4583,,AC,18.3468856,2.044,0,,1790,TRUE,1790,Infinity,1,2023,40,101955.3073,73,3,1,1,-Infinity,Infinity,380,010200000002000000A2E5DFA722B91A409B91F3E6BAD249407FED4F98E67C1D403EC791184E194A40,010200000002000000A2E5DFA722B91A409B91F3E6BAD249407FED4F98E67C1D403EC791184E194A40
AMP-009,29323,31097,4583,,AC,1.1309724,0.21,0,,925,TRUE,925,Infinity,1,2023,40,149189.1892,12,3,1,1,-Infinity,Infinity,380,010200000002000000A2E5DFA722B91A409B91F3E6BAD249407FED4F98E67C1D403EC791184E194A40,010200000002000000A2E5DFA722B91A409B91F3E6BAD249407FED4F98E67C1D403EC791184E194A40
AMP-009,29324,4583,34613,,AC,16.336268,1.82,0,,1790,TRUE,1790,Infinity,1,2023,40,90782.12291,65,3,1,1,-Infinity,Infinity,380,0102000000020000007FED4F98E67C1D403EC791184E194A40DCFA583FCE1B1D40D4280D416A604A40,0102000000020000007FED4F98E67C1D403EC791184E194A40DCFA583FCE1B1D40D4280D416A604A40
AMP-010,29325,11042,32037,,AC,3.5185808,0.392,0,,1790,TRUE,1790,Infinity,1,2027,40,19553.07263,14,3,1,1,-Infinity,Infinity,380,01020000000200000070B54E5C8EB71F40A7DBC82BC6214A40CAB90D4093352040E4F154F0EE214A40,01020000000200000070B54E5C8EB71F40A7DBC82BC6214A40CAB90D4093352040E4F154F0EE214A40
AMP-010,29326,32037,31855,,AC,5.2778712,0.588,0,,1790,TRUE,1790,Infinity,1,2028,40,29329.60894,21,3,1,1,-Infinity,Infinity,380,010200000002000000CAB90D4093352040E4F154F0EE214A405C7E9E54929D20400B896ACA3D2C4A40,010200000002000000CAB90D4093352040E4F154F0EE214A405C7E9E54929D20400B896ACA3D2C4A40
AMP-010,29327,32037,32097,,AC,7.2884888,0.812,0,,1790,TRUE,1790,Infinity,1,2028,40,40502.7933,29,3,1,1,-Infinity,Infinity,380,010200000002000000CAB90D4093352040E4F154F0EE214A40845805B555A320400FD9A9266F084A40,010200000002000000CAB90D4093352040E4F154F0EE214A40845805B555A320400FD9A9266F084A40
AMP-010,29328,32097,31304,,AC,7.2884888,0.812,0,,1790,TRUE,1790,Infinity,1,2027,40,40502.7933,29,3,1,1,-Infinity,Infinity,380,010200000002000000845805B555A320400FD9A9266F084A40AD4C7B4D7CBA2040E369A2F2ABF64940,010200000002000000845805B555A320400FD9A9266F084A40AD4C7B4D7CBA2040E369A2F2ABF64940
AMP-014,29329,4243,35129,,AC,1.7592904,0.196,0,,1790,TRUE,1790,Infinity,1,2021,40,9776.536313,7,3,1,1,-Infinity,Infinity,380,0102000000020000009CC992944F5A1A401019A07E61A44940AF4DEDB729131A40A43A6FE173A94940,0102000000020000009CC992944F5A1A401019A07E61A44940AF4DEDB729131A40A43A6FE173A94940
AMP-014,29330,35129,3979,,AC,1.6336268,0.182,0,,1790,TRUE,1790,Infinity,1,2021,40,9078.212291,6.5,3,1,1,-Infinity,Infinity,380,010200000002000000AF4DEDB729131A40A43A6FE173A94940B4FA34385BF21940E83D84A746B04940,010200000002000000AF4DEDB729131A40A43A6FE173A94940B4FA34385BF21940E83D84A746B04940
