bus_id,lon,lat,point,polygon,voltage,power_type,substation,osm_id,osm_www,frequency,subst_name,ref,operator,dbahn,status
31104,6.683107022192082,51.57564552523084,0101000020E610000087EE3F6880BB1A40447AA8C0AEC94940,0103000020E61000000100000005000000944F45E0FEBA1A400B86D535B5C949406C1107BFC3BB1A40A9F3FFD1A3C94940746CA92803BC1A4075019738A8C9494006685BCD3ABB1A4026BBEACDB9C94940944F45E0FEBA1A400B86D535B5C94940,220000,substation,transmission,w24479003,http://www.osm.org/way/24479003,NA,Station Möllen,NA,NA,no,2
31698,9.801317202345569,47.65250436112305,0101000020E6100000C697933F469A2340ACC24D4385D34740,0103000020E6100000010000000700000041E90B21E7992340E4970EA37BD3474021014812299A23409AD824A078D34740228ED02A8E9A2340CA4F08347DD34740337AC95A9E9A23402F28030D91D3474074841D10329A2340EC1ED09F91D3474078EBA122F399234062B2A4F386D3474041E90B21E7992340E4970EA37BD34740,380000,substation,compensation,w31131320,http://www.osm.org/way/31131320,50,NA,NA,Transnet BW,no,2
31274,11.004916950000002,50.50741499934261,0101000020E610000064E476798402264093D685F9F2404940,0103000020E61000000100000005000000671EAFF666022640BC9D1DEFFA4049402FEE505E750226407B0A4E0DEA4049405FAA3EFCA1022640680FEE03EB40494097DA9C9493022640AAA2BDE5FB404940671EAFF666022640BC9D1DEFFA404940,380000,substation,industrial,w25746125,http://www.osm.org/way/25746125,50,Pumpspeicherwerk Goldisthal,NA,NA,no,2
34098,7.195979372179286,51.411575331958,0101000020E610000076CD08D1AEC81C40CB4C1F80AEB44940,0103000020E61000000100000005000000F3A386DB46C81C40783F00D6AAB44940383B74D597C81C401EBF38D4A5B449402516E75E16C91C40F375CD6CB2B44940B84082E2C7C81C40539F5F1CB7B44940F3A386DB46C81C40783F00D6AAB44940,220000,substation,transmission,w156973363,http://www.osm.org/way/156973363,NA,Station Welper,NA,RWE,no,2
35075,10.408526716834926,53.411330247773805,0101000020E61000004FB2F0692AD12440A4053578A6B44A40,0103000020E61000000100000005000000CFE8B3A8F4D0244037104C61A5B44A40D50E90792ED12440028B33689EB44A4004430C2A60D12440D8B9238FA7B44A40531B8B5C26D124400B3F3C88AEB44A40CFE8B3A8F4D0244037104C61A5B44A40,380000,substation,industrial,w700393479,http://www.osm.org/way/700393479,50,NA,NA,NA,no,2
31244,9.775990807719905,53.690669404243195,0101000020E6100000A74ECAAA4E8D234042C9E3DA67D84A40,0103000020E61000000100000008000000D3D4B2B5BE8C23407BA66D2E59D84A4045990D32C98C2340C15CDE3D51D84A40DC860783218D234000C9B6E34DD84A404F9B278D878D2340DC740D0A4AD84A404A636A01908D23404C5E01B749D84A40002258B0E88D23401699735B7DD84A404D8C1B6D0B8D2340CD6C39B885D84A40D3D4B2B5BE8C23407BA66D2E59D84A40,380000,substation,transmission,w25306938,http://www.osm.org/way/25306938,50,Kummerfeld,NA,TenneT TSO,no,2
30865,8.735135796743075,50.159191553758134,0101000020E6100000C5421AB86378214066988A6360144940,0103000020E6100000010000000F000000F3A15577767721404A940A9986144940AB2C65749B77214073AA0EDE68144940AF415F7AFB77214019F05F342B144940397B67B455792140AFEA67C537144940F3BB9F0903792140CA8DAE9C73144940227F7A7DF7782140DBF805CF84144940566F1E98ED78214050E7E87184144940935CB4B6DF7821409C231DF9831449401629DE12CA7821402C32926291144940F2E2699EC8782140F0B78457921449406079EB5795782140864949349214494095F0DF17F2772140C7F657599114494050E56A1ACA772140869881948E14494093AC1E8BC8772140A94D0B288A144940F3A15577767721404A940A9986144940,220000;110000,substation,transmission,w4826893,http://www.osm.org/way/4826893,NA,Umspannwerk Frankfurt Nord,NA,TenneT TSO GmbH;Mainova,no,2
30867,11.639339068563299,48.17869599545106,0101000020E6100000A6114D7357472740B931A882DF164840,0103000020E61000000100000015000000D66D50FBAD452740D8F7199E03174840FA5289FC4447274059CC8C4FB71648404E4B0746B947274034C97A4CA41648408B608841054827405D4971CBA2164840A07C8B98234927402B820BEFCD1648402CDED9684A482740C7FC538CF3164840868D57C5C0472740803D0481DF1648403857DE9F9C462740AED3AD6F16174840EF78495288462740F672872F13174840051D63DD2E462740FF20A7DB231748408D0B62FB24462740D445D59123174840AAE7493E1B4627406DF0F53C2417484059B917981546274081CB7887251748400AABC2B00D4627400162DD5A2617484073CCC353D94527404F8928081E1748404D5F741EBA452740569BD061191748407E37386CB64527407A01229518174840F69BE4A2B5452740B3482E8617174840A20D1BC0B6452740130FE878161748407642435ABE452740C316C5E814174840D66D50FBAD452740D8F7199E03174840,380000;110000,substation,transmission,w5404079,http://www.osm.org/way/5404079,50,Hauptumspannwerk Föhring,NA,NA,no,2
30873,9.908850396108344,53.488048569222116,0101000020E6100000E57BD0D654D1234094D5216078BE4A40,0103000020E6100000010000000C0000002322A1D22DD02340B7DA7AB262BE4A40BAFEB858ACD023402205725A5CBE4A408995760F75D0234094062FCB43BE4A40D310B0B1A6D123402211B42E35BE4A40F74A6AB290D223404FFC250EA0BE4A400924175234D12340F9A1BDCBB1BE4A40CD565EF23FD1234084FD5617B7BE4A406D63FDB0EFD0234069C3850DBBBE4A403B229518BAD0234035381E98A3BE4A40EB3B1AE2B3D023403AD3B3E0A0BE4A4060B3B7EFACD02340B92E1AA89DBE4A402322A1D22DD02340B7DA7AB262BE4A40,380000;110000,substation,transmission,w11285720,http://www.osm.org/way/11285720,NA,Hamburg/Süd,NA,50Hertz Transmission;Stromnetz Hamburg GmbH,no,2
30878,11.37040879051204,48.29148987363752,0101000020E6100000DDCC9238A6BD2640B531498A4F254840,0103000020E6100000010000001D000000E8B57E9F16BC2640BF1930DA3E254840457EFD101BBC26409E98BD5939254840902CBBBB29BC26403CD319603025484008D6276F36BC2640345FE2C62D25484084F4143944BC26406EA6EEB72C254840612D8892DABD2640D3503EE02625484032D2414DE3BD26401340CC0127254840B328ECA2E8BD264043D8D5D12725484051657330F6BD2640A9F8BA9E43254840D970A2A712BF26407839209B3F254840E7B7431E1CBF26403B775B20412548404985B18520BF2640EC7DEF1241254840C3AE923424BF264008C5AC0441254840E809F0822DBF26408CECC8343F25484002498E2A79BF2640AFF6F51F3E254840982B836A83BF26401560424D3E254840077360DE88BF2640E103800640254840AA741CE49ABF2640C764105663254840E8EAD85251BE264057E42CD967254840264BF78436BE26403F6012656F254840D71E51FC73BC26405BAE83CB74254840710D220846BC2640EC9D32DA4F25484001CE418644BC26403CF9FAA24E25484006D3307C44BC264096FC449C4E2548403746578E35BC2640D1D276EF4D25484015BB229D26BC2640477AEB9F4C254840244D727621BC2640B7E029D1482548407F00080E1EBC26402BA87B4045254840E8B57E9F16BC2640BF1930DA3E254840,380000;220000;110000,substation,transmission,w18629425,http://www.osm.org/way/18629425,NA,Umspannwerk Oberbachern,OBA,TenneT TSO GmbH;E.ON Netz GmbH,no,2
