scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Project,Project_id,Startpoint,subst_name0,matching1%,matching2%,Coordinate0,Endpoint,subst_name1,Coordinate1,Voltage,s_nom.1,NOVA-Type,Comments,Coordinate1.1,Unnamed: 45,Unnamed: 46,Unnamed: 47,subst_name0.1
50HzT-003,29301,33677,34267,,AC,,,,,,,,,1,2022,40,,72.68764266,3,,,,,,,,EnLAG,3,Neuenhagen,Umspannwerk Neuenhagen,62.5,100,13.710158941385528 52.53912561098884,Vierraden,Vierraden,14.268068804447122 53.09805938715533,72.68764266,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau",14.268068804447122 53.09805938715533,14.268068804447122 53.09805938715533,,,Umspannwerk Zell
50HzT-003,29302,34267,31612,,AC,,,,,,,,,1,2022,40,,26.95832782,3,,,,,,,,EnLAG,3,Vierraden,Vierraden,100,57.14,14.268068804447122 53.09805938715533,Bertikow,Umspannwerk Bertikow,13.957017873623581 53.25217590677972,26.95832782,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau",13.957017873623581 53.25217590677972,13.957017873623581 53.25217590677972,,,Umspannwerk Zell
50HzT-007,29303,,,,AC,,,,,,,,,1,2023,40,,,3,,,,,,,,EnLAG,11,Neuenhagen  ,,,,,Wustemark,,,52.10015179,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau",12.94304061364577 52.56256564446307,12.94304061364577 52.56256564446307,,,Umspannwerk Zell
50HzT-P33,29304,31318,31320,,AC,,,,,,,,,1,2022,40,,44.44590563,3,,,,,,,,BBPIG,10,Wolmirstedt,Umspannwerk Wolmirstedt,64.71,60,11.6401668419024 52.26899390911886,Helmstedt,Umspannwerk Helmstedt,10.999333070802122 52.20014201370701,44.44590563,380,2366.6MVA,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,10.999333070802122 52.20014201370701,10.999333070802122 52.20014201370701,,,Umspannwerk Zell
50HzT-P34,29305,32614,,,AC,,,,,,,,,1,2026,40,,,,,,,,,,,BBPIG,39,Perleberg,Umspannwerk Perleberg,60,,11.852340511063945 53.08685484855226,Stendal/West,,,58.18453088,380,,Errichtung einer Lei- tung: Ersatzneubau,11.72690204499007 52.56955253076913,11.72690204499007 52.56955253076913,,,Umspannwerk Zell
50HzT-P34,29306,,,,AC,,,,,,,,,1,2026,40,,,,,,,,,,,BBPIG,39,Stendal/West,,,,, Wolmirstedt,,,92.13603729,380,,Errichtung einer Lei- tung: Ersatzneubau,11.6401668419024 52.26899390911886,11.6401668419024 52.26899390911886,,,Umspannwerk Zell
50HzT-P34,29307,,,,AC,,,,,,,,,1,2026,40,,,,,,,,,,,BBPIG,39,Parchim / Süd,,,,,Perleberg,,,58.18453088,380,,Errichtung einer Lei- tung: Ersatzneubau,11.852340511063945 53.08685484855226,11.852340511063945 53.08685484855226,,,Umspannwerk Zell
50HzT-P34,29308,34884,,,AC,,,,,,,,,1,2026,40,,,,,,,,,,,BBPIG,39,Güstrow,Umspannstation Güstrow Umweltpark,35,,12.20669507272273 53.793518103553104,Parchim / Süd,,,48.63425589,380,,Errichtung einer Lei- tung: Ersatzneubau,11.8128737230406 53.42460616868441,11.8128737230406 53.42460616868441,,,Umspannwerk Parchim
50HzT-P36,29309,,,,AC,,,,,,,,,1,2025,40,,,,,,,,,,,BBPIG,11,Bertikow   ,,,,,Pasewalk,,,124.9265491,380,,Errichtung einer Lei- tung: Ersatzneubau,14.033684493013668 53.507523103743004,14.033684493013668 53.507523103743004,,,Umspannwerk Zell
50HzT-P38,29310,34958,,,AC,,,,,,,,,1,2025,40,,,,,,,,,,,BBPIG,13,Pulgar,Umspannwerk Pulgar,50,,12.337422954113398 51.19696836334348,Geußnitz (Abschnitt Ost),,,380,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Umbeseilung:HTLS,,,,,Umspannwerk Zell
