scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,oldlinecode,Projekt,Projekt_id,cable/line,Maßnahme,Startpunkt,subst_name0,Endpunkt,subst_name1,Coordinate0,Coordinate1,Length type,Length,Trassenlänge in km,Trassenlänge in km.1,Spannung,NOVA-Typ,Art,Bundesländer,NOVA-Kategorie,TYNDP,PCI,EnLAG / BBP,anvisierte Inbetriebnahme,Umsetzungsstand,ÜNB,M-Nr.,Szenario,Anmerkung,matching0%,matching1%
50HzT-003,,,,,AC,,,,,,,,,1,2023,40,,120,6,,2,,,380,,,,EnLAG,3,line,Neuenhagen – Vierraden – Bertikow,Neuenhagen,,Vierraden,,13.710158941385528 52.53912561098884,14.268068804447122 53.09805938715533,Ausbau&Betand,,56,64,380,"Errichtung einer Leitung: Neubau in neuer Trasse,
Errichtung einer Lei-
tung: Ersatzneubau",Leitung,BB,NVA,,,EnLAG Nr. 3,2023,4: Genehmigt oder im Bau,,,,Zusätzliche 380kV Freileitung,,
50HzT-003,,,,,AC,,,,,,,,,1,2023,40,,,3,,1,,,380,,,,EnLAG,3,line,,Vierraden,,Bertikow,,14.268068804447122 53.09805938715533,13.957017873623581 53.25217590677972,Ausbau,,*,*,380,"Errichtung einer Leitung: Neubau in neuer Trasse,
Errichtung einer Lei-
tung: Ersatzneubau",Leitung,BB,NVA,,,EnLAG Nr. 3,2023,4: Genehmigt oder im Bau,,,,Zusätzliche 380kV Freileitung,,
50HzT-007,,,,,AC,,,,,,,,,1,2022,40,,75,,,,,,380,,,,EnLAG,11,line,Neuenhagen – Wustermark,Umspannwerk Neuenhagen,,Wustermark,,13.710158941385528 52.53912561098884,12.94304061364577 52.56256564446307,Ausbau&Betand,,14,61,380,"Errichtung einer Leitung: Neubau in neuer Trasse,
Errichtung einer Lei-
tung: Ersatzneubau",Leitung,BB,NVA,,,EnLAG Nr. 11,2022,4: Genehmigt oder im Bau,,,,,,
50HzT-P34,,,,,AC,,,,,,,,,1,2028,40,,64,,,,,,380,,,,BBPIG,39,line,Perleberg – Stendal / West – Wolmirstedt,Perleberg,,Stendal West,,11.852340511063945 53.08685484855226,11.727508020040295 52.568641773335166,Bestand,,,64,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"BB, ST",NV,,,BBP Nr. 39,2028,"3: vor oder im PFV/ Genehmigung nach BImSchG,
5: Realisiert",,,,,,
50HzT-P34,,,,,AC,,,,,,,,,1,2023,40,,37,,,,,,380,,,,BBPIG,39,line,,Stendal West,,Wolmirstedt,,11.727508020040295 52.568641773335166,11.6401668419024 52.26899390911886,Bestand,,,37,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"BB, ST",NV,,,BBP Nr. 39,"2022,
2023","3: vor oder im PFV/ Genehmigung nach BImSchG,
5: Realisiert",,,,,,
50HzT-P34,,,,,AC,,,,,,,,,1,2023,40,,37,,,,,,380,,,,BBPIG,39,line,Parchim / Süd – Perleberg,Parchim,,Perleberg,,11.8128737230406 53.42460616868441,11.852340511063945 53.08685484855226,Bestand,,,37,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"MV, BB",NV,,,BBP Nr. 39,"2022,
2023",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,
50HzT-P34,,,,,AC,,,,,,,,,1,2026,40,,53,,,,,,380,,,,BBPIG,39,line,x,Güstrow,,Parchim,,12.18580202996256 53.81602837061954,11.8128737230406 53.42460616868441,Bestand,,,53,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,MV,NV,,,BBP Nr. 39,"2025,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,
50HzT-P36,,,,,AC,,,,,,,,,1,2026,40,,32,,,,,,380,,,,BBPIG,11,line,Bertikow – Pasewalk,Bertikow,,Pasewalk,,13.957017873623581 53.25217590677972,14.033684493013668 53.507523103743004,Bestand,,,32,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"BB, MV",NV,,,BBP Nr. 11,"2025,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,
50HzT-P38,,,,,AC,,,,,,,,,1,2025,40,,105,,,,,,380,,,,BBPIG,13,line,Pulgar – Geußnitz (Abschnitt Ost),Pulgar,,Vieselbach,,12.337422954113398 51.19696836334348,11.12324628496046 50.99837545149305,Bestand,,,105,380,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,SN,NV,,,BBP Nr. 13,"2024,
2025",4: Genehmigt oder im Bau,,,,,,
50HzT-P39,,,,,AC,,,,,,,,,1,2025,40,,66,,,,,,380,,,,BBPIG,14,line,Röhrsdorf – Weida (Abschnitt Ost),Röhrsdorf,,Weida,,12.815082479900909 50.85868947882309,12.045483740723734 50.780944014196685,Bestand,,,66,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"SN, TH",NV,,,BBP Nr. 14,"2024,
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,
50HzT-P39,,,,,AC,,,,,,,,,1,2026,40,,43,,,,,,380,,,,BBPIG,14,line,Weida – Remptendorf (Abschnitt West),Weida,,Remptendorf,,12.045483740723734 50.780944014196685,11.646368322793366 50.53487799518581,Bestand,,,43,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,TH,NV,,,BBP Nr. 14,"2025,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,
