scn_name,Projekt,Projekt_id,Maßnahme,Startpunk,Endpunkt,Spannung,s_nom,cables,NOVA-Typ,Art,Bundesländer,NOVA-Kategorie,TYNDP,PCI,EnLAG / BBP,Trassenlänge in km,,anvisierte Inbetriebnahme,Umsetzungsstand,ÜNB,M-Nr.,Szenario,,,,Anmerkung
50HzT-003,EnLAG,3,Neuenhagen – Vierraden – Bertikow,Neuenhagen,Vierraden,380,,3,"Errichtung einer Leitung: Neubau in neuer Trasse,
Errichtung einer Lei-
tung: Ersatzneubau",Leitung,BB,NVA,,,EnLAG Nr. 3,56,64,2023,4: Genehmigt oder im Bau,,,,,,,Zusätzliche 380kV Freileitung
50HzT-003,EnLAG,3,,Vierraden,Bertikow,380,,3,"Errichtung einer Leitung: Neubau in neuer Trasse,
Errichtung einer Lei-
tung: Ersatzneubau",Leitung,BB,NVA,,,EnLAG Nr. 3,56,64,2023,4: Genehmigt oder im Bau,,,,,,,Zusätzliche 380kV Freileitung
50HzT-003,,,2. Einschleifung Vierraden,2. Einschleifung Vierraden,,380,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,BB,NVA,,,,,,2022,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
50HzT-007,EnLAG,11,Neuenhagen – Wustermark,Neuenhagen  ,Wustemark,380,,,"Errichtung einer Leitung: Neubau in neuer Trasse,
Errichtung einer Lei-
tung: Ersatzneubau",Leitung,BB,NVA,,,EnLAG Nr. 11,14,61,"2022,
2023",4: Genehmigt oder im Bau,,,,,,,
50HzT-035,,,Netzanschluss PSW Leutenberg, Leutenberg,Leutenberg,380,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,TH,NA,,,,2,,2028,,,,,,,,
50HzT-P33,BBPIG,10,Wolmirstedt – Landesgrenze ST / NI (Mast 6),Wolmirstedt,Landesgrenze ST/NI (Mast 6),380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,ST,NV,,,BBP Nr. 10,,46,2022,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,increase from 1660A to 3600A
50HzT-P34,BBPIG,39,Perleberg – Stendal / West – Wolmirstedt,Perleberg,Stendal/West,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"BB, ST",NV,,,BBP Nr. 39,,101,"2022,
2023","3: vor oder im PFV/ Genehmigung nach BImSchG,
5: Realisiert",,,,,,,
50HzT-P34,BBPIG,39,,Stendal/West, Wolmirstedt,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"BB, ST",NV,,,BBP Nr. 39,,101,"2022,
2023","3: vor oder im PFV/ Genehmigung nach BImSchG,
5: Realisiert",,,,,,,
50HzT-P34,BBPIG,39,Parchim / Süd – Perleberg,Parchim / Süd,Perleberg,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"MV, BB",NV,,,BBP Nr. 39,,37,"2025,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
50HzT-P34,BBPIG,39,Güstrow – Parchim / Süd,Güstrow,Parchim / Süd,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,MV,NV,,,BBP Nr. 39,,53,"2025,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
50HzT-P36,BBPIG,11,Bertikow – Pasewalk,Bertikow   ,Pasewalk,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"BB, MV",NV,,,BBP Nr. 11,,32,"2024,
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
50HzT-P38,BBPIG,13,Pulgar – Geußnitz (Abschnitt Ost),Pulgar,Geußnitz (Abschnitt Ost),380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,SN,NV,,,BBP Nr. 13,,27,"2024,
2025",4: Genehmigt oder im Bau,,,,,,,
50HzT-P38,BBPIG,13,Geußnitz – Bad Sulza (Abschnitt Mitte),Geußnitz,Bad Sulza (Abschnitt Mitte),380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"SN, TH",NV,,,BBP Nr. 13,,41,"2024,
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
