scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Project,Project_id,Startpoint,start point test,Endpoint,End point test,Ausbau,Bestand,subst_name0,matching1%,matching2%,Coordinate0,subst_name1,Coordinate1,Voltage,s_nom.1,NOVA-Type,Comments
50HzT-003,29301,33678,34267,,AC,,,,,,,,,1,2022,40,,72.68764266,3,,,,,,,,EnLAG,3,Neuenhagen,,Vierraden,Vierraden,56,64,Umspannwerk Neuenhagen,62.5,100,13.710158941385528 52.53912561098884,Vierraden,14.268068804447122 53.09805938715533,72.68764266,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau"
50HzT-003,29302,34267,31612,,AC,,,,,,,,,1,2022,40,,26.95832782,3,,,,,,,,EnLAG,3,Vierraden,,Bertikow,Bertikow,,,Vierraden,100,57.14,14.268068804447122 53.09805938715533,Umspannwerk Bertikow,13.957017873623581 53.25217590677972,26.95832782,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau"
50HzT-007,29303,,,,AC,,,,,,,,,1,2023,40,,,3,,,,,,,,EnLAG,11,Neuenhagen  ,2. Einschleifung Vierraden,Wustemark,,,,,,,,,,52.10015179,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau"
50HzT-P33,29304,31318,31321,,AC,,,,,,,,,1,2022,40,,44.44590563,3,,,,,,,,BBPIG,10,Wolmirstedt,Umspannwerk Neuenhagen,Helmstedt,Wustermark,14,61,Umspannwerk Wolmirstedt,64.71,60,11.6401668419024 52.26899390911886,Umspannwerk Helmstedt,10.999333070802122 52.20014201370701,44.44590563,380,2366.6MVA,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung
50HzT-P34,29305,32614,,,AC,,,,,,,,,1,2026,40,,,,,,,,,,,BBPIG,39,Perleberg, Leutenberg,Stendal/West,Leutenberg,2,,Umspannwerk Perleberg,60,,11.852340511063945 53.08685484855226,,,58.18453088,380,,Errichtung einer Lei- tung: Ersatzneubau
50HzT-P34,29306,,,,AC,,,,,,,,,1,2026,40,,,,,,,,,,,BBPIG,39,Stendal/West,Wolmirstedt, Wolmirstedt,Landesgrenze ST/NI (Mast 6),,46,,,,,,,92.13603729,380,,Errichtung einer Lei- tung: Ersatzneubau
50HzT-P34,29307,,32614,,AC,,,,,,,,,1,2026,40,,0,,,,,,,,,BBPIG,39,Parchim / SÃ¼d,Perleberg,Perleberg,Stendal/West,,64,,,60,,Umspannwerk Perleberg,11.852340511063945 53.08685484855226,58.18453088,380,,Errichtung einer Lei- tung: Ersatzneubau
50HzT-P34,29308,31759,,,AC,,,,,,,,,1,2026,40,,,,,,,,,,,BBPIG,39,GÃ¼strow,Stendal/West,Parchim / SÃ¼d, Wolmirstedt,,37,Umspannwerk GÃ¼strow,53.85,,12.18580202996256 53.81602837061954,,,48.63425589,380,,Errichtung einer Lei- tung: Ersatzneubau
50HzT-P36,29309,,35283,,AC,,,,,,,,,1,2025,40,,126.8861651,,,,,,,,,BBPIG,11,Bertikow   ,Parchim / Süd,Pasewalk,Perleberg,,37,,,100,,Pasewalk,14.033684493013668 53.507523103743004,124.9265491,380,,Errichtung einer Lei- tung: Ersatzneubau
50HzT-P38,29310,34958,,,AC,,,,,,,,,1,2025,40,,,,,,,,,,,BBPIG,13,Pulgar,Güstrow,GeuÃŸnitz (Abschnitt Ost),Parchim / Süd,,53,Umspannwerk Pulgar,50,,12.337422954113398 51.19696836334348,,,380,,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Umbeseilung:HTLS
50HzT-P38,29311,,,,AC,,,,,,,,,1,2025,40,,,,,,,,,,,BBPIG,13,GeuÃŸnitz,Bertikow   ,Bad Sulza (Abschnitt Mitte),Pasewalk,,32,,,,,,,380,,Errichtung einer Lei- tung: Ersatzneubau,
50HzT-P38,29312,,,,AC,,,,,,,,,1,2025,40,,,,,,,,,,,BBPIG,13,Bad Sulza,Pulgar,Vieselbach (Abschnitt West),Geußnitz (Abschnitt Ost),,27,,,,,,,75.62134758,380,,Errichtung einer Lei- tung: Ersatzneubau
50HzT-P39,29313,30952,,,AC,,,,,,,,,1,2026,40,,,,,,,,,,,BBPIG,14,RÃ¶hrsdorf,Geußnitz,Weida (Abschnitt Ost),Bad Sulza (Abschnitt Mitte),,41,Umspannwerk RÃ¶hrsdorf,60,,12.815082479900909 50.85868947882309,,,279.4266437,380,,Errichtung einer Lei- tung: Ersatzneubau
50HzT-P39,29314,34084,,,AC,,,,,,,,,1,2026,40,,,,,,,,,,,BBPIG,14,Weida,Bad Sulza,Remptendorf (Abschnitt West),Vieselbach (Abschnitt West),,37,Umspannwerk Weida,45.45,,12.045483740723734 50.780944014196685,,,39.31629321,380,,Errichtung einer Lei- tung: Ersatzneubau
50HzT- P180,29315,30931,31631,,AC,,,,,,,,,1,2030,40,,21.77882628,6,,,,,,,,,,Marzahn,Röhrsdorf,Teufelsbruch,Weida (Abschnitt Ost),,66,Umspannwerk Marzahn,53.85,66.67,13.524113150563279 52.53579367759632,Umspannwerk Teufelsbruch,13.211527686000428 52.58062783766221,21.77882628,380,,Errichtung einer Lei- tung: Ersatzneubau
