scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Project,Project_id,Startpoint,subst_name0,matching1%,matching2%,Coordinate0,Endpoint,subst_name1,Coordinate1,Voltage,s_nom.1,NOVA-Type,Comments,Coordinate1.1,Unnamed: 45,Unnamed: 46,Unnamed: 47,subst_name0.1
50HzT-003,29301,,,,AC,,,,,,,,,1,2022.0,40,,,3.0,,,,,,,,EnLAG,3,Umspannwerk Neuenhagen,,,,8.735135796743075 50.159191553758134,Vierraden,,14.268068804447122 53.09805938715533,72.68764266,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau",14.268068804447122 53.09805938715533,14.268068804447122 53.09805938715533,,,Umspannwerk Zell
50HzT-003,29302,34267.0,33532.0,,AC,,,,,,,,,1,2022.0,40,,684.5110037144051,3.0,,,,,,,,EnLAG,3,Vierraden,Vierraden,100.0,72.22,14.268068804447122 53.09805938715533,Umspannwerk Bertikow,Umspannwerk Zell,10.024504210738638 47.57320970527648,26.95832782,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau",13.957017873623581 53.25217590677972,13.957017873623581 53.25217590677972,,,Umspannwerk Zell
50HzT-007,29303,,,,AC,,,,,,,,,1,2023.0,40,,,3.0,,,,,,,,EnLAG,11,Umspannwerk Neuenhagen,,,,8.735135796743075 50.159191553758134,Wustemark,,12.94304061364577 52.56256564446307,52.10015179,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau",12.94304061364577 52.56256564446307,12.94304061364577 52.56256564446307,,,Umspannwerk Zell
50HzT-P33,29304,,,,AC,,,,,,,,,1,2022.0,40,,,3.0,,,,,,,,BBPIG,10,Umspannwerk Wolmirstedt,,,,8.735135796743075 50.159191553758134,Umspannwerk Helmstedt,,8.735135796743075 50.159191553758134,44.44590563,380,2366.6MVA,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,10.999333070802122 52.20014201370701,10.999333070802122 52.20014201370701,,,Umspannwerk Zell
50HzT-P34,29305,,,,AC,,,,,,,,,1,2026.0,40,,,,,,,,,,,BBPIG,39,Umspannwerk Perleberg,,,,8.735135796743075 50.159191553758134,Umspannwerk Stendal West,,8.735135796743075 50.159191553758134,58.18453088,380,,Errichtung einer Lei- tung: Ersatzneubau,11.72690204499007 52.56955253076913,11.72690204499007 52.56955253076913,,,Umspannwerk Zell
50HzT-P34,29306,,,,AC,,,,,,,,,1,2026.0,40,,,,,,,,,,,BBPIG,39,Umspannwerk Stendal West,,,,8.735135796743075 50.159191553758134,Umspannwerk Wolmirstedt,,8.735135796743075 50.159191553758134,92.13603729,380,,Errichtung einer Lei- tung: Ersatzneubau,11.6401668419024 52.26899390911886,11.6401668419024 52.26899390911886,,,Umspannwerk Zell
50HzT-P34,29307,,,,AC,,,,,,,,,1,2026.0,40,,,,,,,,,,,BBPIG,39,Umspannwerk Parchim,,,,8.735135796743075 50.159191553758134,Umspannwerk Perleberg,,8.735135796743075 50.159191553758134,58.18453088,380,,Errichtung einer Lei- tung: Ersatzneubau,11.852340511063945 53.08685484855226,11.852340511063945 53.08685484855226,,,Umspannwerk Zell
50HzT-P34,29308,34884.0,34342.0,,AC,,,,,,,,,1,2026.0,40,,319.8476564384122,,,,,,,,,BBPIG,39,Güstrow,Umspannstation Güstrow Umweltpark,35.0,52.17,12.20669507272273 53.793518103553104,Parchim / Süd,Weimar/Süd,11.356230191588548 50.966565847458064,48.63425589,380,,Errichtung einer Lei- tung: Ersatzneubau,11.8128737230406 53.42460616868441,11.8128737230406 53.42460616868441,,,Umspannwerk Parchim
50HzT-P36,29309,,,,AC,,,,,,,,,1,2025.0,40,,,,,,,,,,,BBPIG,11,Umspannwerk Bertikow,,,,8.735135796743075 50.159191553758134,Pasewalk,,14.033684493013668 53.507523103743004,124.9265491,380,,Errichtung einer Lei- tung: Ersatzneubau,14.033684493013668 53.507523103743004,14.033684493013668 53.507523103743004,,,Umspannwerk Zell
50HzT-P38,29310,,,,AC,,,,,,,,,1,2025.0,40,,,,,,,,,,,BBPIG,13,Umspannwerk Pulgar,,,,8.735135796743075 50.159191553758134,Geußnitz (Abschnitt Ost),,,380.0,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Umbeseilung:HTLS,,,,,Umspannwerk Zell
50HzT-P38,29311,,,,AC,,,,,,,,,1,2025.0,40,,,,,,,,,,,BBPIG,13,Geußnitz,,,,7.117102815005979 49.321741042209574,Bad Sulza (Abschnitt Mitte),,,380.0,,Errichtung einer Lei- tung: Ersatzneubau,,,,,,Umspannwerk Sebnitz
50HzT-P38,29312,,,,AC,,,,,,,,,1,2025.0,40,,,,,,,,,,,BBPIG,13,Bad Sulza,,,,6.21102034998242 49.95862577949023,Vieselbach (Abschnitt West),,11.12324628496046 50.99837545149305,75.62134758,380,,Errichtung einer Lei- tung: Ersatzneubau,10.291142563091611 50.97937435424922,10.291142563091611 50.97937435424922,,,Eisenach/West
50HzT-P39,29313,30952.0,33517.0,,AC,,,,,,,,,1,2026.0,40,,279.4266436717109,,,,,,,,,BBPIG,14,Röhrsdorf,Umspannwerk Röhrsdorf,60.0,35.0,12.815082479900909 50.85868947882309,Weida (Abschnitt Ost),Umspannwerk Weidach,13.331032449999999 48.368797649848425,279.4266437,380,,Errichtung einer Lei- tung: Ersatzneubau,13.331032449999999 48.368797649848425,13.331032449999999 48.368797649848425,,,Umspannwerk Weidach
50HzT-P39,29314,,,,AC,,,,,,,,,1,2026.0,40,,,,,,,,,,,BBPIG,14,Umspannwerk Weida,,,,8.735135796743075 50.159191553758134,Remptendorf (Abschnitt West),,11.646368322793366 50.53487799518581,39.31629321,380,,Errichtung einer Lei- tung: Ersatzneubau,11.646368322793366 50.53487799518581,11.646368322793366 50.53487799518581,,,Remptendorf
